id,fecha_postulacion,estado,medio_postulacion,nivel_estudios,id_postulante,id_vacante
1,2026-04-08,en revisión,pagina web,maestria,13,0
2,2026-04-06,rechazado,facebook,secundaria,20,0
3,2026-03-19,rechazado,linkedin,universitario,3,2
4,2026-02-28,EN REVISION,linkedin,universitario,5,8
5,2026-03-10,en revisión,linkedin,maestria,13,0
6,2026-02-17,EN REVISION,referencia,secundaria,9,9
7,2026-02-23,entrevista,pagina web,tecnico,16,0
8,2026-03-10,EN REVISION,facebook,secundaria,6,10
9,2026-02-23,entrevista,computrabajo,secundaria,14,7
10,2026-03-01,postulado,referencia,universitario,12,4
11,2026-02-10,aceptado,referencia,tecnico,7,0
12,2026-02-24, rechazado ,pagina web,tecnico,12,3
13,19/03,postulado,referencia,maestria,10,10
14,2026-02-28,aceptado,linked in,secundaria,15,7
15,30/03,entrevista,facebook,secundaria,19,8
16,2026-04-05,rechazado,linked in,universitario,18,6
17,2026-04-08, en revisión ,linkedin,secundaria,2,3
18,2026-03-07,rechazado,linked in,universitario,19,6
19,2026-03-25,postulado,referencia,secundaria,7,0
20,2026-02-22,aceptado,computrabajo,,12,5
1,2026-04-08,en revisión,pagina web,maestria,13,0
